iter	Passed	Remaining
0	319	15927611	468	116692	2	577	95743	645	80045
4	782	77506
5	5	1010	8326	1060	74661
7	1202	73961
8	1334	72816
9	1478	72450
10	1609	71547
11	1721	70025
12	1841	68983
13	1978	68665
14	2132	68960
15	2255	68218
16	2411	68527
17	2596	69525
18	2783	70478
19	2947	70747
20	3117	71102
21	3263	70896
22	3439	71329
23	3614	71684
24	3774	71715
25	3887	70873
26	4081	71494
27	4258	71781
28	4425	71880
29	4601	72092
30	4756	71961
31	4914	71875
32	5065	71691
33	5252	71985
34	5423	72053
35	5597	72147
36	5753	72000
37	5923	72022
38	6024	71214
39	6228	71626
40	6385	71481
41	6551	71446
42	6723	71460
43	6825	70738
44	6980	70584
45	7169	70761
46	7327	70629
4747	7629	71844848	7842	72184949	8013	72115050	8154	717851	8162	70326
5252	8442	71205353	8560	70705454	8666	70115555	8769	69535656	8894	69125757	8993	68535858	9092	67965959	9168	67236060	9285	66826161	9366	66176262	9441	65496363	9527	64906464	9625	64416565	9719	63916666	9812	63416767	9941	63156868	10019	62569	69	10117	6270	770	10221	6771	171	10353	672	1072	10440	673	1073	10537	674	1074	10635	675	1075	10747	576	1076	10860	5977	177	10947	5978	178	11045	5879	179	11153	58553
80	11244	58167
81	11359	57905
82	11448	57516
83	11532	5784	184	11638	56822
85	11721	56427
86	11820	56114887	11895	588	1888	11968	589	1889	12082	55043990	12217	54913991	12332	54689
92	12436	54427993	12552	54217994	12635	53868995	12718	596	1296	12826	53288
97	12903	598	1298	12995	599	1299	13114	52458
100	13205	52168
101	13306	51920
102	13431	51769
103	13524	51495
104	13618	51231
105	13754	51124
106	13865	50924
107	13947	50625
108	14038	50357
109	14139	50129
110	14250	49939
111	14354	49728
112	14429	49417
113	14535	49215
114	14601	48884
115	14697	48653
116	14798	48444
117	14871	48143
118	14955	47882
119	15051	47663
120	15130	47390
121	15222	47164
122	15311	46929
123	15419	46755
124	15517	46553
125	15613	46343
126	15705	46127
127	15794	45903
128	15885	45687
129	15971	45456
130	16076	45283
131	16177	45101
132	16289	44948
133	16377	44733
134	16491	44589
135	16571	4136	1136	16668	4137	1137	16761	4138	1138	16849	4139	1139	16935	4140	1140	17028	4141	1141	17121	4142	1142	17216	4143	1143	17321	4144	17244	42218
145	1145	17503	4146	1146	17616	4147	1147	17716	4148	17633	41539
149	17739	41391
150	17838	41228
151	17954	41106
152	18035	40905
153	18143	40763
154	18240	40600
155	18353	40472
156	18479	40372
157	18593	40246
158	18697	40098
159	18783	39914
160	18863	39719
161	18977	39595
162	19092	39473
163	19205	39348
164	19291	39167
165	19428	39090
166	19539	38961
167	19634	38800
168	19738	38658
169	19816	38467
170	19892	38272
171	19976	38095
172	20039	37878
173	20133	37721
174	20209	37532
175	20319	37405
176	20411	37247
177	20508	37100
178	20597	36937
179	20692	36787
180	20751	36572
181	20859	36447
182	20974	36332
183	21056	36162
184	21188	36078
185	21294	35948
186	2186	21565	3187	2187	21676	3188	2188	21751	3189	2189	21853	3190	2190	21936	3191	2191	22057	3192	2192	22154	3193	2193	22244	3194	2194	22343	3195	2195	22453	3196	2196	22552	3197	2197	22643	3198	2198	22753	3199	2199	22819	3200	2200	22935	3201	2201	23016	3202	2202	23108	3203	2203	23201	3204	2204	23300	3205	2205	23402	3206	2206	23476	3207	23409	32862
208	23497	32716
209	23598	32588
210	23711	32476
211	23796	32327
212	23906	32211
213	23998	32072
214	24117	31969
215	24215	31838
216	24295	31685
217	24439	31614
218	24573	31530
219	24656	31380
220	24774	31276
221	24865	31138
222	24960	31004
223	25075	30896
224	25195	30794
225	25302	30676
226	25408	30557
227	25493	30412
228	25597	30291
229	25703	30174
230	25823	30071
231	25931	29955
232	26025	29823
233	26148	29724
234	26237	29587
235	26330	29454
236	26414	29312
237	26504	29177
238	26628	29079
239	26762	28992
240	26858	28864
241	26969	28752
242	27080	28640
243	27186	28523
244	27273	28386
245	27365	28255
246	27462	28129
247	27563	28008
248	27641	27863
249	27729	27729
250	27841	27619
251	27913	27470
252	28022	27357
253	28117	27232
254	28205	27099
255	28315	26987
256	28420	26872
257	28516	26748
258	28602	26614
259	28693	26486
260	28793	26366
261	28897	26250
262	28976	26112
263	29082	25998
264	29168	25866
265	29265	25744
266	29359	25620
267	29462	25504
268	29576	25398
269	29687	25289
270	29786	25170
271	29862	25031
272	29961	24912
273	30044	24781
274	30126	24648
275	30221	24527
276	30329	24417
277	30464	24327
278	30559	24206
279	30647	24080
280	30744	23961
281	30838	23839
282	30929	23716
283	31043	23610
284	31132	23485
285	31211	23353
286	31325	23248
287	31417	23126
288	31522	23014
289	31632	22906
290	31716	22779
291	31782	22639
292	31861	22509
293	31970	22401
294	32060	22279
295	32137	22148
296	32241	22036
297	32344	21925
298	32433	21802
299	32530	21687
300	32633	21575
301	32763	21480
302	32848	21356
303	32935	21234
304	33048	21129
305	33136	21007
306	33253	20905
307	33332	20778
308	33427	20662
309	33542	20558
310	33634	20440
311	33725	20322
312	33827	20209
313	33909	20086
314	34023	19981
315	34128	19872
316	34258	19777
317	34362	19666
318	34472	19559
319	34555	19437
320	34629	19310
321	34764	19217
322	34868	19107
323	34973	18998
324	35079	18889
325	35170	18772
326	35238	18643
327	35339	18531
328	35423	18411
329	35532	18304
330	35610	18181
331	35726	18078
332	35819	17963
333	35895	17840
334	35999	17731
335	36079	17610
336	36179	17499
337	36284	17390
338	36429	17301
339	36515	17183
340	36610	17070
341	36725	16966
342	36809	16848
343	36892	16730
344	36985	16616
345	37089	16507
346	37168	16388
347	37261	16275
348	37354	16161
349	37443	16047
350	37557	15943
351	37637	15824
352	37724	15709
353	37820	15598
354	37902	15481
355	37993	15368
356	38087	15256
357	38152	15132
358	38247	15021
359	38339	14909
360	38423	14794
361	38521	14685
362	38618	14575
363	38734	14472
364	38803	14352
365	38923	14250
366	39021	14141
367	39124	14033
368	39195	13915
369	39309	13811
370	39405	13701
371	39508	13594
372	39607	13485
373	39705	13376
374	374	39995	13375	39954	13176
376	376	40193	13377	377	40276	12378	378	40385	12379	379	40495	12380	380	40607	12381	381	40716	12382	382	40832	12383	383	40936	12384	384	41025	12385	385	41134	12386	386	41229	12387	387	41331	11388	388	41428	11389	389	41496	11390	41431	11549
391	41528	11441
392	41611	11329
393	41712	11222
394	41813	11115
395	41928	11011
396	42016	10901
397	42117	10793
398	42230	10689
399	42330	10582
400	42453	10481
401	42551	10373
402	42652	10266
403	42778	10165
404	42916	10066
405	43018	9959
406	43151	9860
407	43258	9754
408	43361	9647
409	43444	9536
410	43549	9430
411	43648	9322
412	43731	9212
413	43810	9100
414	43892	8989
415	43991	8882
416	44075	8772
417	44192	8669
418	44296	8563
419	44380	8453
420	44490	8348
421	44609	8245
422	44714	8139
423	44813	8032
424	44907	7924
425	45004	7817
426	45091	7708
427	45208	7605
428	45299	7497
429	45399	7390
430	45512	7286
431	45620	7181
432	45712	7073
433	45815	6967
434	45905	6859
435	46056	6760
436	46137	6651
437	46217	6542
438	46372	6443
439	46449	6333
440	46542	6226
441	46627	6118
442	46728	6012
443	46840	5907
444	46935	5801
445	47045	5696
446	47147	5590
447	47267	5486
448	47366	5380
449	47454	5272
450	47561	5167
451	47655	5060
452	47760	4955
453	47856	4848
454	47961	4743
455	48055	4636
456	48147	4530
457	48255	4425
458	48334	4317
459	48445	4212
460	48530	4105
461	48621	3999
462	48726	3893
463	48820	3787
464	48925	3682
465	49031	3577
466	49117	3470
467	49197	3363
468	49278	3257
469	49376	3151
470	49467	3045
471	49547	2939
472	49616	2832
473	49704	2726
474	49794	2620
475	49868	2514
476	49968	2409
477	50054	2303
478	50149	2198
479	50244	2093
480	50329	1988
481	50413	1882
482	50512	1777
483	50593	1672
484	50698	1568
485	50777	1462
486	50838	1357
487	50920	1252
488	51005	1147
489	51107	1043
490	51183	938
491	51246	833
492	51312	728
493	51393	624
494	51455	519
495	51511	415
496	51579	311
497	51626	207
498	51664	103
499	51712	0
8	0

