team,moneyline,implied_prob,source
Duke,+330,0.233,draftkings_mar15
Michigan,+350,0.222,draftkings_mar15
Arizona,+400,0.200,draftkings_mar15
Florida,+700,0.125,draftkings_mar15
Houston,+1000,0.091,draftkings_mar15
Connecticut,+1700,0.056,draftkings_mar15
Illinois,+1900,0.050,draftkings_mar15
Iowa State,+2200,0.043,draftkings_mar15
Purdue,+3500,0.028,draftkings_mar15
Michigan State,+4000,0.024,draftkings_mar15
Kansas,+5000,0.020,draftkings_mar15
Arkansas,+5000,0.020,draftkings_mar15
St. John's (NY),+5000,0.020,draftkings_mar15
Gonzaga,+5500,0.018,draftkings_mar15
Virginia,+6000,0.016,draftkings_mar15
Vanderbilt,+6500,0.015,draftkings_mar15
Wisconsin,+7000,0.014,draftkings_mar15
Tennessee,+9000,0.011,draftkings_mar15
Nebraska,+10000,0.010,draftkings_mar15
Kentucky,+10000,0.010,draftkings_mar15
Alabama,+10000,0.010,draftkings_mar15
North Carolina,+11000,0.009,draftkings_mar15
Texas Tech,+11000,0.009,draftkings_mar15
Louisville,+12000,0.008,draftkings_mar15
BYU,+13000,0.008,draftkings_mar15
UCLA,+13000,0.008,draftkings_mar15
Iowa,+20000,0.005,draftkings_mar15
Clemson,+20000,0.005,draftkings_mar15
Texas A&M,+20000,0.005,draftkings_mar15
NC State,+20000,0.005,draftkings_mar15
Missouri,+25000,0.004,draftkings_mar15
Miami (FL),+25000,0.004,draftkings_mar15
Villanova,+25000,0.004,draftkings_mar15
Utah State,+25000,0.004,draftkings_mar15
Saint Mary's,+25000,0.004,draftkings_mar15
Ohio State,+25000,0.004,draftkings_mar15
Georgia,+30000,0.003,draftkings_mar15
UCF,+30000,0.003,draftkings_mar15
TCU,+30000,0.003,draftkings_mar15
SMU,+35000,0.003,draftkings_mar15
Virginia Commonwealth,+40000,0.002,draftkings_mar15
Saint Louis,+40000,0.002,draftkings_mar15
Santa Clara,+40000,0.002,draftkings_mar15
Texas,+40000,0.002,draftkings_mar15
Akron,+50000,0.002,draftkings_mar15
South Florida,+60000,0.002,draftkings_mar15
Miami (OH),+100000,0.001,draftkings_mar15
Pennsylvania,+100000,0.001,draftkings_mar15
McNeese,+150000,0.0007,draftkings_mar15
Northern Iowa,+150000,0.0007,draftkings_mar15
Maryland-Baltimore County,+150000,0.0007,draftkings_mar15
Hawaii,+150000,0.0007,draftkings_mar15
Troy,+150000,0.0007,draftkings_mar15
Hofstra,+200000,0.0005,draftkings_mar15
Prairie View A&M,+200000,0.0005,draftkings_mar15
Siena,+200000,0.0005,draftkings_mar15
Queens (NC),+200000,0.0005,draftkings_mar15
Lehigh,+200000,0.0005,draftkings_mar15
Idaho,+200000,0.0005,draftkings_mar15
North Dakota State,+200000,0.0005,draftkings_mar15
California Baptist,+200000,0.0005,draftkings_mar15
Wright State,+200000,0.0005,draftkings_mar15
Tennessee State,+200000,0.0005,draftkings_mar15
Howard,+200000,0.0005,draftkings_mar15
High Point,+200000,0.0005,draftkings_mar15
Long Island University,+200000,0.0005,draftkings_mar15
Kennesaw State,+200000,0.0005,draftkings_mar15
Furman,+200000,0.0005,draftkings_mar15
