favorite,underdog,spread,source
Duke,Siena,27.5,cbs
Ohio State,TCU,2.5,cbs
St. John's (NY),Northern Iowa,9.5,cbs
Kansas,California Baptist,13.5,cbs
Louisville,South Florida,6.5,cbs
Michigan State,North Dakota State,16.5,cbs
UCLA,UCF,5.5,cbs
Connecticut,Furman,20.5,cbs
Iowa,Clemson,2.5,cbs
Vanderbilt,McNeese,11.5,cbs
Nebraska,Troy,13.5,cbs
North Carolina,Virginia Commonwealth,2.5,cbs
Illinois,Pennsylvania,21.5,cbs
Saint Mary's,Texas A&M,2.5,cbs
Houston,Idaho,22.5,cbs
Arizona,Long Island University,29.5,cbs
Utah State,Villanova,1.5,cbs
Wisconsin,High Point,11.5,cbs
Arkansas,Hawaii,15.5,cbs
Gonzaga,Kennesaw State,18.5,cbs
Miami (FL),Missouri,1.5,cbs
Purdue,Queens (NC),23.5,cbs
Georgia,Saint Louis,1.5,cbs
Texas Tech,Akron,8.5,cbs
Alabama,Hofstra,12.5,cbs
Virginia,Wright State,17.5,cbs
Kentucky,Santa Clara,3.5,cbs
Iowa State,Tennessee State,23.5,cbs
Purdue,Miami (FL),7.5,espn_r32
Iowa State,Kentucky,4.5,espn_r32
St. John's (NY),Kansas,3.5,espn_r32
Tennessee,Virginia,1.5,espn_r32
Florida,Iowa,10.5,espn_r32
Arizona,Utah State,11.5,espn_r32
Connecticut,UCLA,4.5,espn_r32
Texas Tech,Alabama,1.5,espn_r32
