Season,Round,WTeamID,LTeamID,Slot
2026,1,1403,1103,R1Y5
2026,1,1397,1275,R1Y6
2026,1,1246,1365,R1Y7
2026,1,1387,1208,R1Y8
2026,1,1112,1254,R1Z1
2026,1,1345,1474,R1Z2
2026,1,1116,1218,R1Z4
2026,1,1104,1220,R1Y4
2026,1,1219,1458,R1Z5
2026,1,1400,1140,R1Z6
2026,1,1274,1281,R1Z7
2026,1,1429,1437,R1Z8
2026,1,1211,1244,R1Z3
2026,1,1438,1460,R1Y3
2026,1,1181,1373,R1W1
2026,1,1276,1224,R1Y1
2026,1,1277,1295,R1W3
2026,1,1242,1465,R1W4
2026,1,1163,1202,R1W2
2026,1,1385,1320,R1W5
2026,1,1257,1378,R1W6
2026,1,1395,1326,R1W8
2026,1,1196,1341,R1X1
2026,1,1417,1416,R1W7
2026,1,1228,1335,R1X3
2026,1,1304,1407,R1X4
2026,1,1435,1270,R1X5
2026,1,1433,1314,R1X6
2026,1,1401,1388,R1X7
2026,1,1234,1155,R1X8
2026,1,1222,1225,R1X2
2026,1,1235,1398,R1Y2
2026,2,1104,1403,R2Y4
2026,2,1116,1219,R2Z4
2026,2,1400,1211,R2Z3
2026,2,1345,1274,R2Z2
2026,2,1112,1429,R2Z1
2026,2,1397,1438,R2Y3
2026,2,1276,1387,R2Y1
2026,2,1181,1395,R2W1
2026,2,1277,1257,R2W3
2026,2,1235,1246,R2Y2
2026,2,1385,1242,R2W4
2026,2,1163,1417,R2W2
2026,2,1304,1435,R2X4
2026,2,1228,1433,R2X3
2026,2,1234,1196,R2X1
2026,2,1222,1401,R2X2
2026,3,1181,1385,R3W1
2026,3,1345,1400,R3Z2
2026,3,1112,1116,R3Z1
2026,3,1276,1104,R3Y1
2026,3,1228,1222,R3X2
2026,3,1234,1304,R3X1
2026,3,1163,1277,R3W2
2026,3,1397,1235,R3Y2
2026,4,1163,1181,R4W1
2026,4,1276,1397,R4Y1
2026,4,1112,1345,R4Z1
2026,4,1228,1234,R4X1
2026,5,1163,1228,R5WX
2026,5,1276,1112,R5YZ
2026,6,1276,1163,R6CH
